"","station_name","station_no","station_id","station_latitude","station_longitude"
"70","Shades Mills Dam Climate Station",149,15113,43.373681,"'-80.287457"
"71","Shand Dam",71,14389,43.734891,"'-80.330514"
"72","Shand Dam Climate Station",72,14419,43.73490032,"'-80.330517842"
"73","St. Jacobs",51,14475,43.541298,"'-80.552997"
"74","Sulphur Creek d/s fish ladder",188,14795,42.870777777,"'-79.62913888888"
"75","Upper Belwood",81,14434,43.8292111111111,"'-80.29885277777778"
"76","Upper Drayton",35,14890,43.7834,"'-80.637396"
"77","Victoria Road",184,14983,43.58790277777,"'-80.2740305555555"
"78","Victoria(Breslau) Continuous Station",82,15317,43.4796472222222,"'-80.42189444444445"
"79","Waldemar",83,15061,43.8908638888889,"'-80.28335"
"80","Weber Street",139,14493,43.4720111111111,"'-80.51435277777777"
"81","Wellesley Dam",56,15132,43.475603322,"'-80.765946703"
"82","West Montrose",84,14504,43.585225,"'-80.481472"
"83","Willow Brook",194,14453,43.9102861111111,"'-80.27518888888889"
"84","Woolwich Dam",18,15147,43.622569,"'-80.564452"
"85","Woolwich Dam Climate Station",19,15171,43.622577996,"'-80.564456748"
"86","York",85,14827,43.021702537,"'-79.89126664"
"87","York WQ Station",86,15336,43.02222,"'-79.89222"
